,Rank,Country,Overall Life,Male Life,Female Life,Continent
0,1,Monaco,89.5,85.6,93.5,Europe
1,2,Japan,85.0,81.7,88.5,Asia
2,3,Singapore,85.0,82.3,87.8,Asia
3,4,Macau; China,84.5,81.6,87.6,Asia
4,5,San Marino,83.3,80.7,86.1,Europe
5,6,Iceland,83.0,80.9,85.3,Europe
6,7,"Hong Kong, China",82.9,80.3,85.8,Asia
7,8,Andorra,82.8,80.6,85.1,Europe
8,9,Switzerland,82.6,80.3,85.0,Europe
9,10,Guernsey,82.5,79.9,85.4,Europe
10,11,Israel,82.4,80.6,84.4,Asia
11,12,South Korea,82.4,79.3,85.8,Asia
12,13,Luxembourg,82.3,79.8,84.9,Europe
13,14,Australia,82.2,79.8,84.8,Oceania
14,15,Italy,82.2,79.6,85.0,Europe
15,16,Sweden,82.1,80.2,84.1,Europe
16,17,Canada,81.9,79.2,84.6,North America
17,18,Jersey,81.9,79.4,84.5,Europe
18,19,Liechtenstein,81.9,79.7,84.6,Europe
19,20,"France, metropolitan",81.8,78.7,85.1,Europe
20,21,Norway,81.8,79.8,83.9,Europe
21,22,Spain,81.7,78.7,84.9,Europe
22,23,Austria,81.5,78.9,84.3,Europe
23,24,Anguilla,81.4,78.8,84.1,North America
24,25,Bermuda,81.3,78.1,84.5,North America
25,26,Netherlands,81.3,79.2,83.6,Europe
26,27,Cayman Islands,81.2,78.5,84.0,North America
27,28,Isle of Man,81.2,79.5,83.0,Europe
28,29,New Zealand,81.2,79.1,83.3,Oceania
29,30,Belgium,81.0,78.4,83.7,Europe
30,31,Finland,80.9,77.9,84.0,Europe
31,32,Ireland,80.8,78.5,83.2,Europe
32,33,Germany,80.7,78.4,83.1,Europe
33,34,United Kingdom,80.7,78.5,83.0,Europe
34,35,Greece,80.5,77.9,83.3,Europe
35,36,Saint Pierre and Miquelon,80.5,78.2,83.0,North America
36,37,Faroe Islands,80.4,77.8,83.1,Europe
37,38,Malta,80.4,78.0,82.8,Europe
38,39,European Union,80.2,77.4,83.2,Europe
39,40,Taiwan,80.1,77.0,83.5,Asia
40,41,U.S. Virgin Islands,80.0,77.0,83.2,North America
41,42,Turks and Caicos Islands,79.8,77.1,82.7,North America
42,43,United States,79.8,77.5,82.1,North America
43,44,Wallis and Futuna,79.7,76.7,82.8,Oceania
44,45,"Saint Helena, Ascension and Tristan da Cunha",79.5,76.6,82.6,Africa
45,46,Denmark,79.4,77.0,82.0,Europe
46,47,Gibraltar,79.4,76.6,82.5,Europe
47,48,Puerto Rico,79.4,75.8,83.1,North America
48,49,Portugal,79.3,76.1,82.8,Europe
49,50,Bahrain,78.9,76.7,81.1,Asia
50,51,Chile,78.8,75.7,81.9,South America
51,52,Cuba,78.7,76.4,81.1,North America
52,53,Cyprus,78.7,75.8,81.6,Europe
53,54,Qatar,78.7,76.7,80.8,Asia
54,55,British Virgin Islands,78.6,77.2,80.1,North America
55,56,Costa Rica,78.6,75.9,81.4,North America
56,57,Czech Republic,78.6,75.7,81.8,Europe
57,58,Panama,78.6,75.8,81.6,North America
58,59,Albania,78.3,75.7,81.2,Europe
59,60,Slovenia,78.2,74.6,82.0,Europe
60,61,Dominican Republic,78.1,75.9,80.5,North America
61,62,Sint Maarten,78.1,75.8,80.6,North America
62,63,Kuwait,78.0,76.6,79.4,Asia
63,64,Northern Mariana Islands; US,78.0,75.3,80.8,Oceania
64,65,Falkland Islands,77.9,75.6,79.6,South America
65,66,Saint Lucia,77.8,75.0,80.7,North America
66,67,New Caledonia,77.7,73.7,81.9,Oceania
67,68,Lebanon,77.6,76.3,78.9,Asia
68,69,Poland,77.6,73.7,81.7,Europe
69,70,United Arab Emirates,77.5,74.8,80.2,Asia
70,71,Brunei,77.2,74.8,79.6,Asia
71,72,French Polynesia,77.2,74.9,79.6,Oceania
72,73,Paraguay,77.2,74.5,80.0,South America
73,74,Uruguay,77.2,74.1,80.5,South America
74,75,Argentina,77.1,74.0,80.4,South America
75,76,Slovakia,77.1,73.5,80.9,Europe
76,77,Dominica,77.0,74.0,80.1,North America
77,78,Morocco,76.9,73.8,80.1,Africa
78,79,Algeria,76.8,75.5,78.2,Africa
79,80,Aruba,76.8,73.7,79.9,South America
80,81,Ecuador,76.8,73.8,79.9,South America
81,82,Sri Lanka,76.8,73.3,80.4,Asia
82,83,Bosnia and Herzegovina,76.7,73.7,80.0,Europe
83,84,Estonia,76.7,71.9,81.7,Europe
84,85,Antigua and Barbuda,76.5,74.4,78.8,North America
85,86,Libya,76.5,74.7,78.3,Africa
86,87,Georgia,76.2,72.1,80.6,Europe
87,88,Republic of Macedonia,76.2,73.6,79.0,Europe
88,89,Tonga,76.2,74.7,77.8,Oceania
89,90,Tunisia,76.1,74.0,78.4,Africa
90,91,Croatia,75.9,72.7,79.2,Europe
91,92,Hungary,75.9,72.2,79.8,Europe
92,93,Mexico,75.9,73.1,78.8,North America
93,94,Cook Islands,75.8,73.0,78.8,Oceania
94,95,Venezuela,75.8,72.7,78.9,South America
95,96,Colombia,75.7,72.6,79.0,South America
96,97,Saint Kitts and Nevis,75.7,73.3,78.2,North America
97,98,Maldives,75.6,73.3,78.0,Asia
98,99,Mauritius,75.6,72.2,79.2,Africa
99,100,Oman,75.5,73.5,77.5,Asia
100,101,People's Republic of China,75.5,73.5,77.9,Asia
101,102,Serbia,75.5,72.6,78.5,Europe
102,103,American Samoa,75.4,72.4,78.5,Oceania
103,104,Barbados,75.3,73.0,77.7,North America
104,105,Saint Vincent and the Grenadines,75.3,73.3,77.4,North America
105,106,Saudi Arabia,75.3,73.2,77.4,Asia
106,107,Solomon Islands,75.3,72.7,78.1,Oceania
107,108,Romania,75.1,71.7,78.8,Europe
108,109,Malaysia,75.0,72.2,78.0,Asia
109,110,West Bank,75.0,73.0,77.1,Asia
110,111,Iraq,74.9,72.6,77.2,Asia
111,112,Lithuania,74.9,69.5,80.6,Europe
112,113,Syria,74.9,72.5,77.4,Asia
113,114,Turkey,74.8,72.5,77.3,Asia
114,115,El Salvador,74.7,71.4,78.1,North America
115,116,Seychelles,74.7,70.2,79.4,Africa
116,117,Thailand,74.7,71.5,78.0,Asia
117,118,Armenia,74.6,71.4,78.3,Europe
118,119,Jordan,74.6,73.2,76.1,Asia
119,120,Bulgaria,74.5,71.2,78.0,Europe
120,121,Latvia,74.5,69.9,79.3,Europe
121,122,Montserrat,74.4,75.8,72.9,North America
122,123,Grenada,74.3,71.7,77.1,North America
123,124,Gaza Strip,73.9,72.3,75.7,Asia
124,125,Brazil,73.8,70.2,77.5,South America
125,126,Uzbekistan,73.8,70.7,77.0,Asia
126,127,Peru,73.7,71.7,75.9,South America
127,128,Samoa,73.7,70.8,76.8,Oceania
128,129,Jamaica,73.6,72.0,75.3,North America
129,130,Vanuatu,73.4,71.8,75.1,Oceania
130,131,Vietnam,73.4,70.9,76.2,Asia
131,132,Bangladesh,73.2,71.0,75.4,Asia
132,133,Nicaragua,73.2,71.1,75.5,North America
133,134,Marshall Islands,73.1,70.9,75.4,Oceania
134,135,Palau,73.1,69.9,76.5,Oceania
135,136,Federated States of Micronesia,72.9,70.8,75.0,Oceania
136,137,Trinidad and Tobago,72.9,69.9,75.9,North America
137,138,Belarus,72.7,67.2,78.6,Europe
138,139,Egypt,72.7,71.4,74.2,Africa
139,140,Fiji,72.7,70.0,75.5,Oceania
140,141,Indonesia,72.7,67.3,69.8,Asia
141,142,Azerbaijan,72.5,69.5,75.8,Europe
142,143,Greenland; Denmark,72.4,69.7,75.2,North America
143,144,The Bahamas,72.4,70.0,74.8,North America
144,145,Guatemala,72.3,70.3,74.4,North America
145,146,Suriname,72.2,69.8,74.8,South America
146,147,Cabo Verde,72.1,69.8,74.5,Africa
147,148,Ukraine,71.8,67.1,76.9,Europe
148,149,Iran,71.4,69.8,73.1,Asia
149,150,Honduras,71.1,69.5,72.8,North America
150,151,Kazakhstan,70.8,65.6,75.7,Asia
151,152,Kyrgyzstan,70.7,66.5,75.1,Asia
152,153,Moldova,70.7,66.9,74.8,Europe
153,154,Nepal,70.7,70.1,71.3,Asia
154,155,North Korea,70.4,66.6,74.5,Asia
155,156,Russia,70.3,64.3,76.4,Asia
156,157,Bhutan,70.1,69.1,71.1,Asia
157,158,Turkmenistan,70.1,67.1,73.3,Asia
158,159,Mongolia,69.6,65.4,74.1,Asia
159,160,Bolivia,69.2,66.4,72.1,South America
160,161,Philippines,69.2,65.7,72.9,Asia
161,162,Belize,68.7,67.2,70.4,North America
162,163,India,68.5,67.3,69.8,Asia
163,164,Guyana,68.4,65.4,71.5,South America
164,165,Timor-Leste,68.1,66.5,69.7,Asia
165,166,Pakistan,67.7,65.8,69.8,Asia
166,167,Tajikistan,67.7,64.6,71.0,Asia
167,168,Papua New Guinea,67.2,65.0,69.5,Oceania
168,169,Nauru,67.1,63.0,70.5,Oceania
169,170,Burma,66.6,64.2,69.2,Asia
170,171,Ghana,66.6,64.1,69.1,Africa
171,172,Tuvalu,66.5,64.3,68.8,Oceania
172,173,Kiribati,66.2,63.7,68.8,Oceania
173,174,Madagascar,65.9,64.4,67.4,Africa
174,175,Yemen,65.5,63.4,67.8,Asia
175,176,Togo,65.0,62.3,69.7,Africa
176,177,Eritrea,64.9,62.4,67.5,Africa
177,178,São Tomé and Príncipe,64.9,63.6,66.3,Africa
178,179,The Gambia,64.9,62.5,67.3,Africa
179,180,Cambodia,64.5,62.0,67.1,Asia
180,181,Laos,64.3,62.2,66.4,Asia
181,182,Comoros,64.2,61.9,66.6,Africa
182,183,Equatorial Guinea,64.2,63.1,65.4,Africa
183,184,Sudan,64.1,62.0,66.3,Africa
184,185,Kenya,64.0,62.6,65.5,Africa
185,186,Haiti,63.8,61.2,66.4,North America
186,187,Namibia,63.6,62.1,65.1,Africa
187,188,Djibouti,63.2,60.7,65.8,Africa
188,189,South Africa,63.1,61.6,64.6,Africa
189,190,Western Sahara,63.0,60.7,65.4,Africa
190,191,Mauritania,63.0,60.7,65.4,Africa
191,192,Ethiopia,62.2,59.8,64.7,Africa
192,193,Tanzania,62.2,60.8,63.6,Africa
193,194,Benin,61.9,60.5,63.3,Africa
194,195,Senegal,61.7,59.7,63.8,Africa
195,196,Malawi,61.2,59.2,63.2,Africa
196,197,Guinea,60.6,59.0,62.2,Africa
197,198,Burundi,60.5,58.8,62.3,Africa
198,199,Rwanda,60.1,58.5,61.7,Africa
199,200,Republic of the Congo,59.3,58.1,60.6,Africa
200,201,Liberia,59.0,57.3,60.8,Africa
201,202,Côte d'Ivoire,58.7,57.5,59.9,Africa
202,203,Cameroon,58.5,57.1,59.9,Africa
203,204,Sierra Leone,58.2,55.6,60.9,Africa
204,205,Zimbabwe,58.0,57.3,58.7,Africa
205,206,Democratic Republic of the Congo,57.3,55.8,58.9,Africa
206,207,Angola,56.0,54.8,57.2,Africa
207,208,Mali,55.8,53.9,57.7,Africa
208,209,Burkina Faso,55.5,53.4,57.6,Africa
209,210,Niger,55.5,54.3,56.8,Africa
210,211,Uganda,55.4,54.0,56.9,Africa
211,212,Botswana,54.5,56.3,52.6,Africa
212,213,Nigeria,53.4,52.4,54.5,Africa
213,214,Mozambique,53.3,52.6,54.1,Africa
214,215,Lesotho,53.0,52.9,53.1,Africa
215,216,Zambia,52.5,50.8,54.1,Africa
216,217,Somalia,52.4,50.3,54.5,Africa
217,218,Central African Republic,52.3,51.0,53.7,Africa
218,219,Gabon,52.1,51.6,52.5,Africa
219,220,Swaziland,51.6,52.2,51.0,Africa
220,221,Afghanistan,51.3,49.9,52.7,Asia
221,222,Guinea-Bissau,50.6,48.6,52.7,Africa
222,223,Chad,50.2,49.0,51.3,Africa
